0,7000,3000
1,5000,2000
2,4000,20000
3,3000,12000
4,2000,99000
5,1000,16000
6,1000,5000
7,1000,9000
8,1000,18000
9,1000,21000

2,a,5,111,1234567890
1,b,6,222,0192837465
0,c,7,333,1342756890
1,d,8,444,0978653421
2,e,9,555,1236547890
3,f,10,666,1029384756
4,g,11,777,5647382910
5,h,12,888,1234560978
6,i,13,999,0912873465
7,j,14,111,1234095687
8,k,15,222,5647283901
9,l,16,333,12983567
9,m,17,444,01298647
9,n,18,555,02983564
9,o,19,666,01983547
9,p,20,777,01835647
9,q,21,777,01298356
9,r,22,888,01298356
9,s,23,999,29835647
9,t,24,111,01293564
9,u,25,222,02983647
9,v,26,333,01293567
9,w,27,444,56728901
9,x,28,555,56728301
9,y,29,666,56473901
9,z,30,777,56472830
9,A,31,888,56472890
9,B,32,999,56728390
9,C,33,111,56472901
9,D,34,222,54783901
9,E,35,333,56428390
9,F,36,444,64783901
9,G,37,555,0129835647
9,H,38,666,0129835647
9,I,39,777,0129835647
9,J,40,888,0129835647
9,K,41,999,0129835647
9,L,42,111,0129835647
9,M,43,222,0129835647
9,N,44,333,0129835647
9,O,45,444,0129835647
9,P,46,555,0129835647
9,Q,47,666,0129835647
9,R,48,777,0129835647
9,S,49,888,0129835647
9,T,50,999,0129835647
9,U,51,111,0129835647
9,V,52,222,0129835647
9,W,53,333,0129835647
9,X,54,444,0129835647
9,Y,55,555,0129835647
9,Z,56,666,0129835647
